Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.080002,245.750000,237.399994,239.580002,237.035995,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,226.667282,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,219.949387,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,222.541565,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,224.708282,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,226.419952,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,233.266464,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,235.977356,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,236.689697,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,237.797821,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,233.306015,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,229.467224,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,237.669205,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,240.004150,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,239.469864,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,238.055069,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,245.366592,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,245.524902,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,240.132767,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,245.178604,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,250.066162,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,261.790314,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,255.606705,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,254.043442,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,264.718903,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,263.897736,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,260.820709,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,260.306244,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,268.438965,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,269.279938,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,267.127594,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,260.015961,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,255.959274,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,250.613129,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,249.462585,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,252.696045,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,247.191223,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,248.123596,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,247.389618,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,244.265244,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,249.065842,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,253.211807,30760100
2023-03-06,256.429993,260.119995,255.979996,256.869995,254.778946,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,252.081085,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,251.634766,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,250.266006,26653400
